pack_family,project,pack_type,batch,pack_no,card_in_pack,ovr,card_name,date_opened,coin_value_override
mystery,original,Reel Deals,pack-original-1,1,1,91,Denzel Perryman,,
mystery,original,Reel Deals,pack-original-1,1,2,90,Adam Jones,,
mystery,original,70+ Gold Player,pack-original-10,10,1,81,T.J. Edwards,,
mystery,original,70+ Gold Player,pack-original-11,11,1,81,Tyrion Ingram-Dawkins,,
mystery,original,70+ Gold Player,pack-original-12,12,1,85,Zach Thomas,,
mystery,original,70+ Gold Player,pack-original-13,13,1,88,Michael Bennett,,
mystery,original,70+ Gold Player,pack-original-14,14,1,76,Shelby Harris,,
mystery,original,70+ Gold Player,pack-original-15,15,1,89,Xavier Hutchinson,,
mystery,original,70+ Gold Player,pack-original-16,16,1,83,Michael Mayer,,
mystery,original,70+ Gold Player,pack-original-17,17,1,76,Kaleb Johnson,,
mystery,original,70+ Gold Player,pack-original-18,18,1,84,Aaron Brewer,,
mystery,original,70+ Gold Player,pack-original-19,19,1,89,Jaelan Phillips,,
mystery,original,Reel Deals,pack-original-2,2,1,92,Randy Moss,,
mystery,original,Reel Deals,pack-original-2,2,2,92,Randy Moss,,
mystery,original,70+ Gold Player,pack-original-20,20,1,88,Walter Payton,,
mystery,original,70+ Gold Player,pack-original-21,21,1,80,Trey Taylor,,
mystery,original,70+ Gold Player,pack-original-22,22,1,88,Derick Hall,,
mystery,original,70+ Gold Player,pack-original-23,23,1,78,Troy Fautanu,,
mystery,original,70+ Gold Player,pack-original-24,24,1,87,Greg Newsome II,,
mystery,original,70+ Gold Player,pack-original-25,25,1,86,Abdul Carter,,
mystery,original,70+ Gold Player,pack-original-26,26,1,85,Jackie Slater,,
mystery,original,70+ Gold Player,pack-original-27,27,1,86,[avg 70+ copy],,
mystery,original,Reel Deals,pack-original-3,3,1,92,J.J. Watt,,
mystery,original,Reel Deals,pack-original-3,3,2,90,Kerby Joseph,,
mystery,original,Reel Deals,pack-original-4,4,1,90,J.J. Watt,,
mystery,original,Reel Deals,pack-original-4,4,2,93,Rashee Rice,,
mystery,original,Deep Shot,pack-original-46,46,1,88,,,
mystery,original,Deep Shot,pack-original-46,46,2,76,,,
mystery,original,Deep Shot,pack-original-46,46,3,80,,,
mystery,original,Deep Shot,pack-original-46,46,4,88,,,
mystery,original,Deep Shot,pack-original-46,46,5,83,,,
mystery,original,Deep Shot,pack-original-47,47,1,88,,,
mystery,original,Deep Shot,pack-original-47,47,2,90,,,
mystery,original,Deep Shot,pack-original-47,47,3,87,,,
mystery,original,Deep Shot,pack-original-47,47,4,79,,,
mystery,original,Deep Shot,pack-original-47,47,5,90,,,
mystery,original,Deep Shot,pack-original-48,48,1,86,,,
mystery,original,Deep Shot,pack-original-48,48,2,88,,,
mystery,original,Deep Shot,pack-original-48,48,3,83,,,
mystery,original,Deep Shot,pack-original-48,48,4,90,,,
mystery,original,Deep Shot,pack-original-48,48,5,86,,,
mystery,original,Deep Shot,pack-original-49,49,1,85,,,
mystery,original,Deep Shot,pack-original-49,49,2,76,,,
mystery,original,Deep Shot,pack-original-49,49,3,88,,,
mystery,original,Deep Shot,pack-original-49,49,4,85,,,
mystery,original,Deep Shot,pack-original-49,49,5,81,,,
mystery,original,Reel Deals,pack-original-5,5,1,90,J.J. Watt,,
mystery,original,Reel Deals,pack-original-5,5,2,92,William Perry,,
mystery,original,Deep Shot,pack-original-50,50,1,89,,,
mystery,original,Deep Shot,pack-original-50,50,2,88,,,
mystery,original,Deep Shot,pack-original-50,50,3,90,,,
mystery,original,Deep Shot,pack-original-50,50,4,79,,,
mystery,original,Deep Shot,pack-original-50,50,5,88,,,
mystery,original,Deep Shot,pack-original-51,51,1,87,,,
mystery,original,Deep Shot,pack-original-51,51,2,87,,,
mystery,original,Deep Shot,pack-original-51,51,3,88,,,
mystery,original,Deep Shot,pack-original-51,51,4,83,,,
mystery,original,Deep Shot,pack-original-51,51,5,89,,,
mystery,original,Deep Shot,pack-original-52,52,1,87,,,
mystery,original,Deep Shot,pack-original-52,52,2,91,,,
mystery,original,Deep Shot,pack-original-52,52,3,89,,,
mystery,original,Deep Shot,pack-original-52,52,4,81,,,
mystery,original,Deep Shot,pack-original-52,52,5,88,,,
mystery,original,Deep Shot,pack-original-53,53,1,90,,,
mystery,original,Deep Shot,pack-original-53,53,2,85,,,
mystery,original,Deep Shot,pack-original-53,53,3,80,,,
mystery,original,Deep Shot,pack-original-53,53,4,89,,,
mystery,original,Deep Shot,pack-original-53,53,5,87,,,
mystery,original,Deep Shot,pack-original-54,54,1,80,,,
mystery,original,Deep Shot,pack-original-54,54,2,79,,,
mystery,original,Deep Shot,pack-original-54,54,3,92,,,
mystery,original,Deep Shot,pack-original-54,54,4,85,,,
mystery,original,Deep Shot,pack-original-54,54,5,91,,,
mystery,original,Deep Shot,pack-original-55,55,1,89,,,
mystery,original,Deep Shot,pack-original-55,55,2,81,,,
mystery,original,Deep Shot,pack-original-55,55,3,88,,,
mystery,original,Deep Shot,pack-original-55,55,4,85,,,
mystery,original,Deep Shot,pack-original-55,55,5,80,,,
mystery,original,Deep Shot,pack-original-56,56,1,89,,,
mystery,original,Deep Shot,pack-original-56,56,2,87,,,
mystery,original,Deep Shot,pack-original-56,56,3,80,,,
mystery,original,Deep Shot,pack-original-56,56,4,79,,,
mystery,original,Deep Shot,pack-original-56,56,5,85,,,
mystery,original,Deep Shot,pack-original-57,57,1,82,,,
mystery,original,Deep Shot,pack-original-57,57,2,88,,,
mystery,original,Deep Shot,pack-original-57,57,3,85,,,
mystery,original,Deep Shot,pack-original-57,57,4,84,,,
mystery,original,Deep Shot,pack-original-57,57,5,80,,,
mystery,original,Deep Shot,pack-original-58,58,1,82,,,
mystery,original,Deep Shot,pack-original-58,58,2,85,,,
mystery,original,Deep Shot,pack-original-58,58,3,82,,,
mystery,original,Deep Shot,pack-original-58,58,4,88,,,
mystery,original,Deep Shot,pack-original-58,58,5,84,,,
mystery,original,Deep Shot,pack-original-59,59,1,80,,,
mystery,original,Deep Shot,pack-original-59,59,2,82,,,
mystery,original,Deep Shot,pack-original-59,59,3,85,,,
mystery,original,Deep Shot,pack-original-59,59,4,83,,,
mystery,original,Deep Shot,pack-original-59,59,5,84,,,
mystery,original,Reel Deals,pack-original-6,6,1,90,Adam Jones,,
mystery,original,Reel Deals,pack-original-6,6,2,94,Bud Dupree,,
mystery,original,Deep Shot,pack-original-60,60,1,80,,,
mystery,original,Deep Shot,pack-original-60,60,2,87,,,
mystery,original,Deep Shot,pack-original-60,60,3,88,,,
mystery,original,Deep Shot,pack-original-60,60,4,86,,,
mystery,original,Deep Shot,pack-original-60,60,5,82,,,
mystery,original,Deep Shot,pack-original-61,61,1,82,,,
mystery,original,Deep Shot,pack-original-61,61,2,88,,,
mystery,original,Deep Shot,pack-original-61,61,3,87,,,
mystery,original,Deep Shot,pack-original-61,61,4,82,,,
mystery,original,Deep Shot,pack-original-61,61,5,85,,,
mystery,original,Deep Shot,pack-original-62,62,1,83,,,
mystery,original,Deep Shot,pack-original-62,62,2,84,,,
mystery,original,Deep Shot,pack-original-62,62,3,80,,,
mystery,original,Deep Shot,pack-original-62,62,4,71,,,
mystery,original,Deep Shot,pack-original-62,62,5,78,,,
mystery,original,Deep Shot,pack-original-63,63,1,82,,,
mystery,original,Deep Shot,pack-original-63,63,2,82,,,
mystery,original,Deep Shot,pack-original-63,63,3,84,,,
mystery,original,Deep Shot,pack-original-63,63,4,82,,,
mystery,original,Deep Shot,pack-original-63,63,5,81,,,
mystery,original,Deep Shot,pack-original-64,64,1,84,,,
mystery,original,Deep Shot,pack-original-64,64,2,82,,,
mystery,original,Deep Shot,pack-original-64,64,3,90,,,
mystery,original,Deep Shot,pack-original-64,64,4,88,,,
mystery,original,Deep Shot,pack-original-64,64,5,88,,,
mystery,original,Deep Shot,pack-original-65,65,1,81,,,
mystery,original,Deep Shot,pack-original-65,65,2,78,,,
mystery,original,Deep Shot,pack-original-65,65,3,82,,,
mystery,original,Deep Shot,pack-original-65,65,4,82,,,
mystery,original,Deep Shot,pack-original-65,65,5,84,,,
mystery,original,Deep Shot,pack-original-66,66,1,82,,,
mystery,original,Deep Shot,pack-original-66,66,2,81,,,
mystery,original,Deep Shot,pack-original-66,66,3,84,,,
mystery,original,Deep Shot,pack-original-66,66,4,82,,,
mystery,original,Deep Shot,pack-original-66,66,5,90,,,
mystery,original,Deep Shot,pack-original-67,67,1,88,,,
mystery,original,Deep Shot,pack-original-67,67,2,88,,,
mystery,original,Deep Shot,pack-original-67,67,3,81,,,
mystery,original,Deep Shot,pack-original-67,67,4,78,,,
mystery,original,Deep Shot,pack-original-67,67,5,82,,,
mystery,original,Deep Shot,pack-original-68,68,1,82,,,
mystery,original,Deep Shot,pack-original-68,68,2,84,,,
mystery,original,Deep Shot,pack-original-68,68,3,82,,,
mystery,original,Deep Shot,pack-original-68,68,4,81,,,
mystery,original,Deep Shot,pack-original-68,68,5,84,,,
mystery,original,Deep Shot,pack-original-69,69,1,82,,,
mystery,original,Deep Shot,pack-original-69,69,2,90,,,
mystery,original,Deep Shot,pack-original-69,69,3,88,,,
mystery,original,Deep Shot,pack-original-69,69,4,88,,,
mystery,original,Deep Shot,pack-original-69,69,5,81,,,
mystery,original,Reel Deals,pack-original-7,7,1,91,Ryan Wright,,
mystery,original,Reel Deals,pack-original-7,7,2,90,Ray Lewis,,
mystery,original,Deep Shot,pack-original-70,70,1,78,,,
mystery,original,Deep Shot,pack-original-70,70,2,82,,,
mystery,original,Deep Shot,pack-original-70,70,3,82,,,
mystery,original,Deep Shot,pack-original-70,70,4,84,,,
mystery,original,Deep Shot,pack-original-70,70,5,82,,,
mystery,original,Deep Shot,pack-original-71,71,1,81,,,
mystery,original,Deep Shot,pack-original-71,71,2,84,,,
mystery,original,Deep Shot,pack-original-71,71,3,88,,,
mystery,original,Deep Shot,pack-original-71,71,4,80,,,
mystery,original,Deep Shot,pack-original-71,71,5,80,,,
mystery,original,Deep Shot,pack-original-72,72,1,88,,,
mystery,original,Deep Shot,pack-original-72,72,2,84,,,
mystery,original,Deep Shot,pack-original-72,72,3,88,,,
mystery,original,Deep Shot,pack-original-72,72,4,88,,,
mystery,original,Deep Shot,pack-original-72,72,5,88,,,
