pack_type,pack_family,cards_per_pack,cost_coins,cost_training
Reel Deals,mystery,2,17500,16667
70+ Gold Player,mystery,1,17500,16667
Deep Shot,mystery,5,17500,16667
Snap Fantasy,mystery,5,17500,16667
NFL Draft,mystery,4,17500,16667
Collector Series,mystery,2,17500,16667
Ultimate Legends,mystery,2,17500,16667
Blaze Pack,blaze,10,78000,
Strike Elite Pack,strike,3,76000,
Surge Pack,surge,1,121500,
Positional Heroes Pack,positional-heroes,3,75000,
93+ Positional Heroes Pack,positional-heroes,1,,92000
80-92 Positional Pack,positional-heroes,1,,10300
80-94 Positional Pack,positional-heroes,1,,12800
