project,card_id,batch,pack_type,pack_no,card_in_pack,ovr,name,position,training_value,is_platinum,manual_value,value_used,note,date_opened
original,1,pack-original-1,Reel Deals,1,1,91,Denzel Perryman,MIKE,16700,False,10020,10020,pack_type inferred,
original,2,pack-original-1,Reel Deals,1,2,90,Adam Jones,CB,10600,False,6360,6360,pack_type inferred,
original,3,pack-original-10,70+ Gold Player,10,1,81,T.J. Edwards,WILL,170,False,102,102,pack_type inferred,
original,4,pack-original-11,70+ Gold Player,11,1,81,Tyrion Ingram-Dawkins,DT,170,False,102,102,pack_type inferred,
original,5,pack-original-12,70+ Gold Player,12,1,85,Zach Thomas,MIKE,1080,False,648,648,pack_type inferred,
original,6,pack-original-13,70+ Gold Player,13,1,88,Michael Bennett,LE,4200,False,2520,2520,pack_type inferred,
original,7,pack-original-14,70+ Gold Player,14,1,76,Shelby Harris,DT,18,False,10.799999999999999,10.799999999999999,pack_type inferred,
original,8,pack-original-15,70+ Gold Player,15,1,89,Xavier Hutchinson,WR,6700,False,4020,4020,pack_type inferred,
original,9,pack-original-16,70+ Gold Player,16,1,83,Michael Mayer,TE,430,False,258,258,pack_type inferred,
original,10,pack-original-17,70+ Gold Player,17,1,76,Kaleb Johnson,HB,18,False,10.799999999999999,10.799999999999999,pack_type inferred,
original,11,pack-original-18,70+ Gold Player,18,1,84,Aaron Brewer,LS,680,False,408,408,pack_type inferred,
original,12,pack-original-19,70+ Gold Player,19,1,89,Jaelan Phillips,LE,6700,False,4020,4020,pack_type inferred,
original,13,pack-original-2,Reel Deals,2,1,92,Randy Moss,WR,26000,False,15600,15600,pack_type inferred,
original,14,pack-original-2,Reel Deals,2,2,92,Randy Moss,WR,26000,False,15600,15600,pack_type inferred,
original,15,pack-original-20,70+ Gold Player,20,1,88,Walter Payton,HB,4200,False,2520,2520,pack_type inferred,
original,16,pack-original-21,70+ Gold Player,21,1,80,Trey Taylor,FS,110,False,66,66,pack_type inferred,
original,17,pack-original-22,70+ Gold Player,22,1,88,Derick Hall,RE,4200,False,2520,2520,pack_type inferred,
original,18,pack-original-23,70+ Gold Player,23,1,78,Troy Fautanu,RT,44,False,26.4,26.4,pack_type inferred,
original,19,pack-original-24,70+ Gold Player,24,1,87,Greg Newsome II,CB,2700,False,1620,1620,pack_type inferred,
original,20,pack-original-25,70+ Gold Player,25,1,86,Abdul Carter,LE,1700,False,1020,1020,pack_type inferred,
original,21,pack-original-26,70+ Gold Player,26,1,85,Jackie Slater,RT,1080,False,648,648,pack_type inferred,
original,22,pack-original-27,70+ Gold Player,27,1,86,[avg 70+ copy],N/A,1700,False,1020,1020,placeholder; pack_type inferred,
original,23,pack-original-3,Reel Deals,3,1,92,J.J. Watt,RE,26000,False,15600,15600,pack_type inferred,
original,24,pack-original-3,Reel Deals,3,2,90,Kerby Joseph,FS,10600,False,6360,6360,pack_type inferred,
original,25,pack-original-4,Reel Deals,4,1,90,J.J. Watt,RE,10600,False,6360,6360,pack_type inferred,
original,26,pack-original-4,Reel Deals,4,2,93,Rashee Rice,WR,42000,False,25200,25200,pack_type inferred,
original,27,pack-original-46,Deep Shot,46,1,88,,N/A,4200,True,620000,620000,"platinum kicker; manual_value=620k (training_value corrupted from 6.2M, corrected to 4200); pack_type inferred",
original,28,pack-original-46,Deep Shot,46,2,76,,N/A,18,False,10.799999999999999,10.799999999999999,unidentified; pack_type inferred,
original,29,pack-original-46,Deep Shot,46,3,80,,N/A,110,False,66,66,unidentified; pack_type inferred,
original,30,pack-original-46,Deep Shot,46,4,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,31,pack-original-46,Deep Shot,46,5,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,32,pack-original-47,Deep Shot,47,1,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,33,pack-original-47,Deep Shot,47,2,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,34,pack-original-47,Deep Shot,47,3,87,,N/A,2700,False,1620,1620,unidentified; pack_type inferred,
original,35,pack-original-47,Deep Shot,47,4,79,,N/A,69,False,41.4,41.4,unidentified; pack_type inferred,
original,36,pack-original-47,Deep Shot,47,5,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,37,pack-original-48,Deep Shot,48,1,86,,N/A,1700,False,1020,1020,unidentified; pack_type inferred,
original,38,pack-original-48,Deep Shot,48,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,39,pack-original-48,Deep Shot,48,3,83,,N/A,430,False,258,258,unidentified; pack_type inferred,
original,40,pack-original-48,Deep Shot,48,4,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,41,pack-original-48,Deep Shot,48,5,86,,N/A,1700,False,1020,1020,unidentified; pack_type inferred,
original,42,pack-original-49,Deep Shot,49,1,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,43,pack-original-49,Deep Shot,49,2,76,,N/A,18,False,10.799999999999999,10.799999999999999,unidentified; pack_type inferred,
original,44,pack-original-49,Deep Shot,49,3,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,45,pack-original-49,Deep Shot,49,4,85,,N/A,1080,False,648,648,unidentified; pack_type inferred,
original,46,pack-original-49,Deep Shot,49,5,81,,N/A,170,False,102,102,unidentified; pack_type inferred,
original,47,pack-original-5,Reel Deals,5,1,90,J.J. Watt,RE,10600,False,6360,6360,pack_type inferred,
original,48,pack-original-5,Reel Deals,5,2,92,William Perry,DT,26000,False,15600,15600,pack_type inferred,
original,49,pack-original-50,Deep Shot,50,1,89,,N/A,6700,False,4020,4020,unidentified; pack_type inferred,
original,50,pack-original-50,Deep Shot,50,2,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
original,51,pack-original-50,Deep Shot,50,3,90,,N/A,10600,False,6360,6360,unidentified; pack_type inferred,
original,52,pack-original-50,Deep Shot,50,4,79,,N/A,69,False,41.4,41.4,unidentified; pack_type inferred,
original,53,pack-original-50,Deep Shot,50,5,88,,N/A,4200,False,2520,2520,unidentified; pack_type inferred,
